cliente_id,nome,email,telefone,estado,data_cadastro,valor_acumulado,atualizado_em,cadastro_valido
CLI-0001,Fabio Santos,fabio.santos1@outlook.com,98938000770,SP,2025-07-27,1065.67,2025-08-02,True
CLI-0002,Fabio Santos,fabio.santos2@empresa.com.br,98978449441,SP,2024-10-04,2441.92,2024-11-02,True
CLI-0003,Fabio Santos,..fabio.santos..3@gmail.com,98990876796,PA,2024-05-07,1332.82,2024-07-13,True
CLI-0004,Carla Souza,carla.souza4@empresa.com.br,98921389694,RJ,2024-11-09,94.78,2025-01-10,True
CLI-0006,Fabio Santos,fabio.santos6@gmail.com,98982592549,SP,2025-04-20,439.15,2025-08-30,True
CLI-0008,Gabi Melo,..gabi.melo..8@empresa.com.br,98941854366,RJ,2024-07-10,874.97,2024-12-23,True
CLI-0009,Elisa Rocha,elisa.rocha9@outlook.com,98922553546,MA,2025-11-20,1004.66,2026-05-10,True
CLI-0010,Elisa Rocha,,98979955457,PA,2024-07-01,2287.17,2024-05-17,False
CLI-0011,Ana Lima,..ana.lima..11@outlook.com,98900720423,RJ,2025-07-27,881.18,2025-07-28,True
CLI-0012,Carla Souza,..carla.souza..12@empresa.com.br,98969821531,PA,2025-08-19,2121.59,2025-10-11,True
CLI-0013,Gabi Melo,..gabi.melo..13@outlook.com,98903436792,MA,2025-06-18,2421.9,2025-10-05,True
CLI-0015,Carla Souza,carla.souza15@gmail.com,98987422064,RJ,2025-10-19,825.94,2025-11-26,True
CLI-0017,Fabio Santos,fabio.santos17@outlook.com,,SP,2023-09-16,360.27,2023-11-18,False
CLI-0018,Diego Alves,diego.alves18@outlook.com,98943361801,MA,2025-07-14,1586.21,2025-12-14,True
CLI-0019,Gabi Melo,gabi.melo19@gmail.com,98921273051,MA,2023-04-25,828.89,2023-09-19,True
CLI-0020,Diego Alves,diego.alves20@gmail.com,98971628155,RJ,2025-07-06,781.52,2025-09-19,True
CLI-0021,Fabio Santos,,98941078323,MA,2025-08-10,1848.07,2025-12-22,False
CLI-0024,Diego Alves,diego.alves24@empresa.com.br,98900286575,RJ,2025-10-20,1992.43,2026-03-01,True
CLI-0025,Carla Souza,carla.souza25@gmail.com,98901156073,PA,2024-11-13,1711.81,2025-02-22,True
CLI-0026,Diego Alves,..diego.alves..26@outlook.com,98952882016,,2024-12-11,2247.98,2025-02-18,False
CLI-0027,Elisa Rocha,elisa.rocha27@outlook.com,98919927836,RJ,2025-06-27,1316.93,2025-12-19,True
CLI-0028,Gabi Melo,gabi.melo28@outlook.com,98906911502,PA,2025-08-18,1912.82,2025-10-11,True
CLI-0029,Fabio Santos,fabio.santos29@gmail.com,98983527323,MA,2025-12-11,1761.97,2026-03-15,True
CLI-0030,Bruno Costa,bruno.costa30@gmail.com,98965741853,,2025-06-17,1174.95,2025-12-07,False
CLI-0031,Diego Alves,..diego.alves..31@gmail.com,98954296358,MA,2025-05-21,407.28,2025-10-20,True
CLI-0032,Carla Souza,carla.souza32@gmail.com,98919683547,SP,2024-08-19,1172.03,2025-01-02,True
CLI-0034,Fabio Santos,fabio.santos34@empresa.com.br,98955955018,,2024-01-04,59.68,2024-07-27,False
CLI-0035,Ana Lima,..ana.lima..35@gmail.com,98940482470,SP,2025-11-22,1759.44,2026-01-23,True
CLI-0037,Carla Souza,carla.souza37@empresa.com.br,98911633886,MA,2023-04-09,1988.57,2023-05-08,True
CLI-0038,Bruno Costa,bruno.costa38@outlook.com,98919836470,MA,2025-10-12,2228.39,2026-04-05,True
CLI-0039,Elisa Rocha,elisa.rocha39@empresa.com.br,98925994428,RJ,2024-01-22,769.51,2024-03-20,True
CLI-0040,Ana Lima,ana.lima40@outlook.com,98963578025,MA,2024-08-19,1189.89,2025-01-31,True
CLI-0041,Bruno Costa,,98912425782,MA,2025-07-31,1444.91,2025-10-03,False
CLI-0042,Bruno Costa,,98959875160,SP,2023-08-24,371.41,2023-11-25,False
CLI-0043,Ana Lima,ana.lima43@empresa.com.br,98996862921,MA,2024-03-02,640.4,2024-07-17,True
CLI-0044,Elisa Rocha,elisa.rocha44@outlook.com,,MA,2024-03-31,1307.05,2024-05-25,False
CLI-0045,Gabi Melo,..gabi.melo..45@empresa.com.br,98986240656,MA,2024-03-24,1498.31,2024-05-06,True
CLI-0048,Elisa Rocha,elisa.rocha48@outlook.com,98981228150,,2024-04-17,428.79,2024-06-15,False
CLI-0049,Bruno Costa,bruno.costa49@outlook.com,98967356880,SP,2025-02-25,761.66,2025-03-08,True
CLI-0050,Ana Lima,ana.lima50@empresa.com.br,98911454486,MA,2025-06-14,402.09,2025-11-08,True
CLI-0051,Carla Souza,,98919236234,SP,2024-06-09,2171.64,2024-12-12,False
CLI-0052,Elisa Rocha,elisa.rocha52@outlook.com,98941384215,MA,2025-01-15,1997.49,2025-06-11,True
CLI-0053,Carla Souza,carla.souza53@empresa.com.br,98924816160,MA,2025-10-29,811.86,2026-03-05,True
CLI-0055,Gabi Melo,gabi.melo55@gmail.com,98936654810,SP,2024-10-11,1630.29,2025-03-27,True
CLI-0056,Ana Lima,ana.lima56@outlook.com,,RJ,2025-05-20,1904.17,2025-10-27,False
CLI-0057,Elisa Rocha,elisa.rocha57@gmail.com,98977497621,RJ,2025-12-04,1122.08,2026-01-29,True
CLI-0059,Diego Alves,diego.alves59@empresa.com.br,98985600560,SP,2025-12-11,977.27,2026-01-14,True
CLI-0060,Carla Souza,carla.souza60@outlook.com,98940493889,RJ,2025-11-25,2363.74,2026-04-18,True
CLI-0061,Diego Alves,diego.alves61@outlook.com,98975974047,MA,2025-08-04,2344.4,2025-07-12,True
CLI-0062,Gabi Melo,gabi.melo62@empresa.com.br,98920100714,,2025-06-24,1464.54,2025-07-01,False
CLI-0063,Bruno Costa,bruno.costa63@empresa.com.br,,RJ,2025-09-18,2068.92,2025-10-15,False
CLI-0064,Ana Lima,..ana.lima..64@gmail.com,98935738971,RJ,2025-06-30,1274.41,2025-10-23,True
CLI-0065,Gabi Melo,,98956511954,PA,2025-06-26,1778.41,2025-12-09,False
CLI-0066,Ana Lima,ana.lima66@empresa.com.br,98903862525,PA,2023-02-09,235.78,2023-05-27,True
CLI-0067,Diego Alves,diego.alves67@empresa.com.br,98989212519,,2025-12-07,838.09,2026-04-26,False
CLI-0068,Bruno Costa,bruno.costa68@gmail.com,98907134589,PA,2024-12-22,771.09,2025-02-19,True
CLI-0069,Diego Alves,diego.alves69@outlook.com,98922503066,,2025-01-26,1368.53,2025-06-09,False
CLI-0070,Fabio Santos,fabio.santos70@gmail.com,98996916969,MA,2024-10-22,1071.2,2025-04-18,True
CLI-0071,Bruno Costa,..bruno.costa..71@empresa.com.br,98924912245,RJ,2023-11-26,213.25,2023-12-15,True
CLI-0072,Ana Lima,ana.lima72@outlook.com,98927319870,RJ,2024-01-20,554.85,2024-06-19,True
CLI-0074,Ana Lima,ana.lima74@outlook.com,98979145354,PA,2025-04-10,1025.09,2025-05-28,True
CLI-0075,Diego Alves,diego.alves75@outlook.com,98991344409,SP,2024-07-22,730.15,2024-09-17,True
CLI-0076,Diego Alves,diego.alves76@empresa.com.br,98906511891,MA,2023-06-12,2321.02,2023-10-18,True
