cliente_id,nome,email,telefone,estado,data_cadastro,valor_acumulado,atualizado_em
CLI-0535,Diego Alves,diego.alves535@outlook.com,+55 98994642629,SP,23/07/2024,326.46,2024-11-07
CLI-0259,Gabi Melo,gabi.melo259@outlook.com,+55 98991863276,Maranhao,2023-05-08,402.40,2023-07-31
CLI-0553,Ana Lima,ana.lima553empresa.com.br,98954985560,rj,28/08/2025,1680.65,2025-09-01
CLI-0444,Carla Souza,carla.souza444@empresa.com.br,(98) 96405-3723,ma,2023-01-11,2262.20,2023-03-15
CLI-0540,  CARLA SOUZA  ,..carla.souza..540@gmail.com,+55 98925870131,sp,27/12/2025,1459.14,2026-03-26
CLI-0327,Bruno Costa,bruno.costa327@empresa.com.br,,PA,2024-12-13,"R$ 94,09",2025-02-01
CLI-0318,  CARLA SOUZA  ,..carla.souza..318@empresa.com.br,+55 98902773124,Maranhao,2023-10-11,"R$ 1.074,70",2023-12-14
CLI-0155,  FABIO SANTOS  ,..fabio.santos..155gmail.com,(98) 97207-1962,Maranhao,08/10/2024,2116.55,2024-10-31
CLI-0708,Gabi Melo,gabi.melo708@outlook.com,(98) 95418-1372,SP,24/06/2023,1432.45,2023-11-18
CLI-0168,Gabi Melo,gabi.melo168@empresa.com.br,(98) 97870-6223,ma,31/03/2024,"R$ 1.460,43",2024-05-25
CLI-0235,Diego Alves,diego.alves235@gmail.com,98980283747,,2025-11-29,"R$ 1.124,95",2026-04-20
CLI-0237,Elisa Rocha,elisa.rocha237@gmail.com,(98) 92832-8401,pa,2025-07-08,1556.31,2025-08-26
CLI-0590,Fabio Santos,fabio.santos590@gmail.com,+55 98959801749,sp,2025-08-30,"R$ 1.201,92",2025-09-01
CLI-0479,Carla Souza,carla.souza479gmail.com,+55 98913226089,sp,2023-02-01,"R$ 115,43",2023-02-26
CLI-0027,Diego Alves,diego.alves27@gmail.com,(98) 90401-7283,SP,26/05/2025,2487.68,2025-08-02
CLI-0366,Carla Souza,carla.souza366@empresa.com.br,(98) 95592-1159,ma,2025-12-12,"R$ 1.961,66",2026-05-21
CLI-0292,Carla Souza,carla.souza292@outlook.com,(98) 93264-9448,ma,25/06/2025,363.44,2025-09-12
CLI-0702,Bruno Costa,bruno.costa702@gmail.com,98976776685,pa,2023-06-20,"R$ 1.158,71",2023-12-06
CLI-0573,  BRUNO COSTA  ,..bruno.costa..573@empresa.com.br,(98) 96619-2889,Maranhao,2025-04-13,213.24,2025-06-12
CLI-0438,Elisa Rocha,elisa.rocha438@outlook.com,(98) 91724-7741,RJ,2025-10-12,685.40,2026-03-23
CLI-0126,Carla Souza,carla.souza126outlook.com,(98) 96915-4297,sp,25/05/2023,2423.35,2023-09-20
CLI-0330,Bruno Costa,bruno.costa330@empresa.com.br,(98) 95146-1474,ma,18/11/2025,"R$ 1.660,49",2026-01-17
CLI-0222,Bruno Costa,bruno.costa222@outlook.com,(98) 95854-1024,RJ,2023-06-11,831.20,2023-06-20
CLI-0583,  ELISA ROCHA  ,..elisa.rocha..583@empresa.com.br,(98) 95421-3967,rj,2024-09-11,1193.04,2024-10-29
CLI-0214,Gabi Melo,gabi.melo214@empresa.com.br,+55 98930867834,RJ,2023-05-27,1208.97,2023-10-23
CLI-0496,Fabio Santos,fabio.santos496empresa.com.br,(98) 93163-1815,PA,11/04/2024,"R$ 1.796,07",2024-10-05
CLI-0245,Carla Souza,carla.souza245@gmail.com,98966125992,ma,2025-04-12,"R$ 2.275,95",2025-08-17
CLI-0032,Carla Souza,carla.souza32@gmail.com,98919683547,sp,19/08/2024,1172.03,2025-01-02
CLI-0319,Fabio Santos,fabio.santos319@outlook.com,,MA,06/08/2024,1411.27,2024-10-20
CLI-0631,Carla Souza,carla.souza631@gmail.com,98914438560,RJ,2025-09-07,"R$ 1.185,69",2025-09-09
CLI-0616,Gabi Melo,gabi.melo616@outlook.com,(98) 91998-1374,ma,12/06/2023,"R$ 149,45",2023-07-18
CLI-0665,Bruno Costa,bruno.costa665outlook.com,98935997271,PA,2023-08-06,2021.05,2023-10-24
CLI-0660,Carla Souza,carla.souza660@outlook.com,98958713117,pa,02/08/2025,"R$ 310,33",2025-11-27
CLI-0059,Gabi Melo,gabi.melo59@empresa.com.br,+55 98939850266,RJ,2023-11-12,1991.94,2023-12-21
CLI-0586,Fabio Santos,fabio.santos586@outlook.com,98911452838,pa,19/02/2025,"R$ 2.090,90",2025-06-04
CLI-0692,Carla Souza,carla.souza692@empresa.com.br,+55 98954330169,RJ,30/03/2024,2257.76,2024-06-18
CLI-0217,  ELISA ROCHA  ,..elisa.rocha..217@gmail.com,98962793056,SP,2025-01-18,2121.05,2025-03-22
CLI-0006,  CARLA SOUZA  ,..carla.souza..6@outlook.com,(98) 94855-1862,MA,04/04/2023,1410.08,2023-09-30
CLI-0607,Carla Souza,carla.souza607@empresa.com.br,+55 98948100022,,11/10/2024,"R$ 1.575,22",2025-02-02
CLI-0114,  BRUNO COSTA  ,..bruno.costa..114@gmail.com,+55 98920542133,rj,15/01/2023,2317.41,2023-07-02
CLI-0717,  DIEGO ALVES  ,..diego.alves..717@gmail.com,98995658729,SP,16/08/2025,"R$ 880,82",2026-02-11
CLI-0371,Carla Souza,carla.souza371@outlook.com,98923088451,pa,25/05/2024,"R$ 840,57",2024-08-15
CLI-0462,Carla Souza,carla.souza462@gmail.com,+55 98935928615,MA,19/11/2025,587.29,2025-12-18
CLI-0042,Bruno Costa,bruno.costa42@outlook.com,98967937957,PA,20/01/2023,1292.98,2023-05-06
CLI-0344,Elisa Rocha,elisa.rocha344@empresa.com.br,98907614785,MA,2023-12-10,"R$ 770,93",2024-02-21
CLI-0192,Gabi Melo,gabi.melo192@empresa.com.br,(98) 99804-4850,sp,16/10/2024,"R$ 1.293,83",2024-12-10
CLI-0173,Elisa Rocha,elisa.rocha173@outlook.com,+55 98941642992,RJ,2025-12-18,1955.08,2025-12-19
CLI-0312,  GABI MELO  ,..gabi.melo..312@outlook.com,98967127817,Maranhao,28/06/2023,"R$ 2.119,88",2023-11-28
CLI-0487,Carla Souza,carla.souza487@outlook.com,98963716196,pa,2025-05-07,120.80,2025-09-18
CLI-0658,Ana Lima,ana.lima658@gmail.com,(98) 97933-7809,sp,03/12/2024,"R$ 1.193,59",2024-12-19
CLI-0486,Carla Souza,carla.souza486@outlook.com,+55 98901219127,MA,2025-04-12,"R$ 2.576,46",2025-09-25
CLI-0059,Diego Alves,diego.alves59@empresa.com.br,(98) 98560-0560,SP,2025-11-12,"R$ 977,27",2026-01-14
CLI-0026,  DIEGO ALVES  ,..diego.alves..26@outlook.com,+55 98952882016,,11/12/2024,2247.98,2025-02-18
CLI-0519,Carla Souza,carla.souza519@empresa.com.br,(98) 90067-7461,pa,2025-01-21,75.88,2025-07-12
CLI-0458,Ana Lima,ana.lima458@outlook.com,+55 98982494465,pa,2024-02-13,"R$ 809,66",2024-06-23
CLI-0009,Carla Souza,carla.souza9@outlook.com,+55 98999639546,pa,2024-07-27,"R$ 2.569,90",2024-12-31
CLI-0159,  CARLA SOUZA  ,..carla.souza..159@empresa.com.br,+55 98961322153,ma,2024-09-19,331.71,2024-11-09
CLI-0208,Gabi Melo,gabi.melo208@empresa.com.br,98966086144,,2025-06-02,"R$ 2.569,51",2025-06-27
CLI-0665,Gabi Melo,gabi.melo665@outlook.com,+55 98900632275,ma,2024-02-08,1610.78,2024-04-16
CLI-0333,Elisa Rocha,elisa.rocha333@gmail.com,+55 98977103193,SP,02/09/2023,2168.60,2023-10-06
CLI-0371,Elisa Rocha,elisa.rocha371@empresa.com.br,(98) 96893-0831,pa,28/06/2023,"R$ 1.647,74",2023-10-13
CLI-0341,Elisa Rocha,elisa.rocha341@empresa.com.br,98933339508,Maranhao,2025-03-03,"R$ 2.552,74",2025-08-04
CLI-0412,Fabio Santos,fabio.santos412@gmail.com,98902340015,PA,02/01/2025,"R$ 1.775,14",2025-04-14
CLI-0541,Diego Alves,diego.alves541@gmail.com,(98) 98295-1597,RJ,13/04/2025,924.30,2025-04-25
CLI-0253,Bruno Costa,bruno.costa253@empresa.com.br,98912883223,SP,2025-05-14,847.49,2025-09-21
CLI-0148,Carla Souza,carla.souza148@gmail.com,+55 98955770698,RJ,2023-07-09,"R$ 2.394,70",2023-10-24
CLI-0359,Carla Souza,carla.souza359@outlook.com,,MA,2023-12-12,2122.20,2024-03-08
CLI-0540,Gabi Melo,gabi.melo540@gmail.com,(98) 98084-6526,pa,2023-03-10,"R$ 110,65",2023-03-16
CLI-0697,Carla Souza,carla.souza697empresa.com.br,+55 98984710946,MA,29/05/2025,1250.65,2025-06-16
CLI-0233,  ANA LIMA  ,..ana.lima..233@gmail.com,98978697275,pa,2024-12-04,"R$ 1.701,21",2024-12-19
CLI-0492,Elisa Rocha,elisa.rocha492@gmail.com,98956778672,SP,19/11/2024,"R$ 2.105,56",2025-04-14
CLI-0501,Gabi Melo,gabi.melo501@empresa.com.br,+55 98925584268,rj,20/05/2024,1196.59,2024-09-23
CLI-0416,Ana Lima,ana.lima416@gmail.com,+55 98922979213,SP,2024-07-09,790.66,2024-11-18
CLI-0019,Gabi Melo,gabi.melo19@gmail.com,(98) 92127-3051,MA,25/04/2023,"R$ 828,89",2023-09-19
CLI-0505,Carla Souza,carla.souza505@empresa.com.br,+55 98933088342,RJ,17/03/2023,"R$ 1.528,70",2023-07-03
CLI-0424,  BRUNO COSTA  ,..bruno.costa..424@outlook.com,(98) 90580-3335,Maranhao,19/06/2023,"R$ 779,26",2023-07-04
CLI-0116,Elisa Rocha,elisa.rocha116@gmail.com,+55 98970432927,RJ,15/06/2024,"R$ 850,40",2024-11-27
CLI-0556,Gabi Melo,gabi.melo556@outlook.com,+55 98951590595,SP,12/09/2023,450.10,2024-01-19
CLI-0326,  BRUNO COSTA  ,..bruno.costa..326@gmail.com,(98) 91127-7759,rj,2023-11-06,"R$ 913,47",2024-04-16
CLI-0214,Diego Alves,diego.alves214@empresa.com.br,98952510367,rj,02/08/2025,"R$ 2.335,00",2025-09-08
CLI-0388,Carla Souza,carla.souza388@gmail.com,98933356936,rj,19/04/2023,"R$ 271,51",2023-09-02
CLI-0203,Gabi Melo,gabi.melo203@gmail.com,98972404826,SP,2025-05-10,"R$ 432,18",2025-10-31
CLI-0471,  BRUNO COSTA  ,..bruno.costa..471@empresa.com.br,(98) 92322-5907,SP,01/08/2024,"R$ 2.287,29",2025-01-19
CLI-0038,Bruno Costa,bruno.costa38@outlook.com,98919836470,MA,12/10/2025,2228.39,2026-04-05
CLI-0385,Gabi Melo,gabi.melo385@gmail.com,(98) 91693-1765,ma,30/12/2024,2234.31,2025-05-26
CLI-0680,Diego Alves,diego.alves680@empresa.com.br,+55 98988731132,sp,2025-05-05,1161.09,2025-07-24
CLI-0104,Ana Lima,ana.lima104@gmail.com,(98) 93321-3047,ma,2025-08-30,1321.29,2025-09-11
CLI-0082,Ana Lima,ana.lima82@outlook.com,+55 98912105955,sp,26/06/2024,"R$ 1.239,41",2024-07-21
CLI-0681,Carla Souza,carla.souza681@outlook.com,98913822016,Maranhao,10/08/2024,2418.87,2024-12-02
CLI-0550,Ana Lima,ana.lima550@gmail.com,98969587648,,2024-06-16,"R$ 1.730,72",2024-10-15
CLI-0444,Gabi Melo,gabi.melo444@outlook.com,+55 98902435942,sp,24/04/2025,"R$ 1.292,92",2025-10-12
CLI-0225,Diego Alves,diego.alves225outlook.com,98910893971,,29/12/2025,"R$ 643,89",2026-05-29
CLI-0627,Carla Souza,carla.souza627@gmail.com,+55 98997051413,MA,2025-03-20,"R$ 2.425,20",2025-06-30
CLI-0004,Carla Souza,carla.souza4@empresa.com.br,98921389694,rj,2024-09-11,"R$ 94,78",2025-01-10
CLI-0577,Diego Alves,diego.alves577@empresa.com.br,98940068538,RJ,05/01/2023,"R$ 1.153,63",2023-06-02
CLI-0633,Gabi Melo,gabi.melo633gmail.com,,SP,2024-04-17,606.98,2024-05-14
CLI-0063,Elisa Rocha,elisa.rocha63outlook.com,(98) 95188-9031,ma,2023-12-02,779.71,2023-12-19
CLI-0110,  BRUNO COSTA  ,..bruno.costa..110@outlook.com,(98) 95524-7059,rj,2023-02-02,128.96,2023-06-23
CLI-0602,Carla Souza,carla.souza602@outlook.com,98921727858,PA,2025-04-09,2316.11,2025-07-19
CLI-0082,Diego Alves,diego.alves82@gmail.com,98948457181,MA,26/06/2024,786.12,2024-11-08
CLI-0431,  GABI MELO  ,..gabi.melo..431@outlook.com,(98) 96263-4633,,14/08/2023,2034.61,2023-10-15
CLI-0590,  ANA LIMA  ,..ana.lima..590@gmail.com,98994219839,RJ,2025-09-05,1647.57,2026-01-01
CLI-0241,Carla Souza,carla.souza241@empresa.com.br,+55 98955192559,RJ,2024-01-25,1925.66,2024-03-25
CLI-0398,Fabio Santos,fabio.santos398@outlook.com,98902550083,,23/01/2024,"R$ 316,16",2024-03-13
CLI-0250,Gabi Melo,gabi.melo250@outlook.com,98950928705,ma,2024-09-30,"R$ 94,11",2024-12-04
CLI-0363,Elisa Rocha,elisa.rocha363@gmail.com,+55 98936259262,pa,2024-03-03,2362.63,2024-04-09
CLI-0448,Gabi Melo,gabi.melo448@gmail.com,+55 98918175116,RJ,06/05/2023,"R$ 1.295,56",2023-08-20
CLI-0313,Elisa Rocha,elisa.rocha313@empresa.com.br,,PA,31/07/2024,1205.97,2024-10-29
CLI-0389,  ANA LIMA  ,..ana.lima..389@empresa.com.br,+55 98936345694,rj,12/01/2024,2005.41,2024-05-23
CLI-0178,Carla Souza,carla.souza178empresa.com.br,+55 98948297523,RJ,09/06/2023,973.19,2023-09-07
CLI-0224,Gabi Melo,gabi.melo224@outlook.com,98999320262,ma,29/01/2024,"R$ 644,74",2024-03-24
CLI-0644,Gabi Melo,gabi.melo644@gmail.com,98948820006,pa,12/10/2025,"R$ 1.016,44",2026-02-14
CLI-0253,Ana Lima,ana.lima253@empresa.com.br,98935792520,SP,17/07/2023,"R$ 2.397,24",2023-07-31
CLI-0546,Fabio Santos,fabio.santos546outlook.com,,pa,2024-05-15,"R$ 2.525,16",2024-05-15
CLI-0619,Carla Souza,carla.souza619@empresa.com.br,98953059486,,2024-08-16,628.84,2025-01-27
CLI-0467,Diego Alves,diego.alves467@gmail.com,98981802657,sp,30/01/2023,1815.98,2023-04-04
